DispoCode,Code,Succession,Elephant,VillDist,RoadDist,ParkDist,Park,Succ2,Temp,Prec,PrecDryQt,Elev,SoilPCA1,SoilPCA2
NRI_P049,KMBI_47,Exploitee,Ancienne piste/pas d'activite,10.50358109,10.41759277,33.76408829,0,Prm,23.8,185.1,4,572,0.011014959,-1.687869965
NRI_P050,KNDA_32,Secondaire,Ancienne piste/pas d'activite,1.845306668,30.12439319,42.47982219,0,Sec,23.4,195.6,1.7,590,0.011014959,-1.687869965
NRI_P051,KNGO_80,Exploitee,Ancienne piste/pas d'activite,5.797739431,5.529007289,37.45229614,0,Exp,26.1,226.3,3,70,0.221918794,1.137765611
NRI_P052,KNSV_126,Exploitee,Active,24.59761014,53.18548098,24.77737692,0,Prm,23.6,168.3,20,635,-0.092556036,-1.35964361
NRI_P053,KON_385,Primaire,Ancienne piste/pas d'activite,32.11043496,53.26473853,9.689733266,0,Exp,23.7,165.7,14.4,567,-0.092556036,-1.35964361
NRI_P056,LAT_17,Secondaire,NA,3.813074323,3.757028796,24.07458853,0,Sec,23.8,166.2,10.2,527,-2.768031015,-2.363284346
NRI_P057,LBK_111,Exploitee,Ancienne piste/pas d'activite,7.519384031,36.22972798,41.87052491,0,Exp,25.5,203.4,2,174,-10.10242427,-2.097610986
NRI_P058,LBK_132,Primaire,Ancienne piste/pas d'activite,22.70403197,34.66613843,58.98541118,0,Prm,25.5,204.6,2.3,125,-10.10242427,-2.097610986
NRI_P059,LBLI_87,Primaire,Active,27.84483739,25.99777707,55.74609038,0,Prm,24.3,165.4,7.3,411,0.221918794,1.137765611
NRI_P061,LEL_411,Primaire,Ancienne piste/pas d'activite,93.36306825,117.3674812,0,1,Exp,23.7,159.2,17.6,520,-0.092556036,-1.35964361
NRI_P062,LFTA_62,Primaire,Active,10.41879512,20.2649018,101.8796974,0,Prm,25.3,172.7,5,288,0.011014959,-1.687869965
NRI_P063,LKGF_35,Exploitee,Ancienne piste/pas d'activite,10.11269674,34.08052766,69.29088649,0,Prm,23.1,192.7,3.2,634,0.011014959,-1.687869965
NRI_P066,MADI_42,Secondaire,Ancienne piste/pas d'activite,4.224712045,35.16461895,22.67740157,0,Sec,25.8,201.2,1.9,155,0.108533665,1.365842797
NRI_P067,MAK_216,Secondaire,Active,3.865996928,11.59113358,78.75951048,0,Sec,26.1,206.9,2.9,41,0.221918794,1.137765611
NRI_P068,MAS_343,Secondaire,Active,3.961402321,3.590673244,42.65198266,0,Sec,23.8,163.4,11.5,503,-0.092556036,-1.35964361
NRI_P069,MAY_319,Exploitee,Active,1.015357787,0.708654322,3.82149771,0,Exp,23.9,164.7,9.3,493,-0.092556036,-1.35964361
NRI_P070,MBAS_117,Exploitee,Ancienne piste/pas d'activite,2.196676071,1.480553739,62.4712302,0,Prm,23,176,14.1,680,0.247116504,-1.05396485
NRI_P071,MBBU_60,Primaire,Ancienne piste/pas d'activite,4.11990439,3.404660771,75.78318111,0,Exp,25.2,161.6,3.7,319,0.011014959,-1.687869965
NRI_P072,MBDA_13,Secondaire,Ancienne piste/pas d'activite,12.15224913,20.34711694,90.41120688,0,Sec,25.2,153.7,0.4,319,0.221918794,1.137765611
