"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"57","CAFI_P061",0.778525097930312,0.64237598583161,"Prm",-0.820460371472335,-0.854066114445032,-0.136575481585022,1,0.262416232405455,-0.304581112362123,-0.237954183657896
"58","CAFI_P062",-0.567658598772224,-0.198239719583785,"Exp",1.07060072862848,-0.789232214742104,-0.245505496683791,0,-0.757195897215579,-0.316996532998078,-0.112190377031222
"59","CAFI_P063",-0.558684040794207,-0.192037907295036,"Exp",1.07060072862848,-0.789232214742104,-0.245505496683791,1,-0.690894434574308,-0.308325612986918,-0.116744821697403
"60","CAFI_P064",-0.190727163695514,-0.183446685118352,"Exp",0.710398614323564,-0.915487703637279,-0.245505496683791,0,0.203136193371024,-0.265347216001153,-0.135807828503601
"61","CAFI_P067",0.284924409139382,-0.530854707487132,"Exp",-0.100056142862499,-0.410465748056576,-0.245505496683791,1,-0.499268008888547,0.121890798206488,-0.264019836620353
"62","CAFI_P069",1.50995157313869,-0.883840556122972,"Prm",-1.72096565723463,0.712184409957286,-0.245505496683791,1,-0.246250464507251,-0.364244505270307,0.111579916963876
"63","CAFI_P070",1.81059926540226,-0.902856910613259,"Prm",-1.72096565723463,0.712184409957286,-0.245505496683791,1,-0.317695690651723,-0.361525259370796,0.134019757211219
"64","CAFI_P071",1.76572647551217,-0.884122110791295,"Prm",-1.6309151286584,0.729245962510688,-0.245505496683791,1,-0.286873366481778,-0.364440608200787,0.131396852674103
"65","CAFI_P072",0.114407807557061,-0.319262569449144,"Prm",0.080044914289959,-0.618616689208082,-0.245505496683791,0,-0.670249514845785,-0.0490988712901396,-0.181083160341421
"66","CAFI_P073",1.92278124012747,-1.15256546307376,"Prm",-2.17121830011578,0.244697869994067,-0.136575481585022,1,-0.0475776589443555,-0.0613143236795828,-0.195136574854106
"67","CAFI_P074",1.74329008056713,-1.16945113358754,"Prm",-2.35131935726823,0.299294838164954,-0.136575481585022,1,0.0875544071180773,-0.147225378288202,-0.228810067867387
"68","CAFI_P075",1.86893389225937,-1.21873841971543,"Prm",-1.90106671438709,0.179863970291139,-0.136575481585022,1,0.501824589751095,0.213152814006226,-0.249293295590574
"69","CAFI_P077",-1.4561398385959,-1.215823948419,"Exp",0.980550200052253,0.336830253782439,2.54273910783674,1,-0.527620197031329,-0.0495611975850227,-0.127523544108057
"70","CAFI_P078",-1.42024160668383,-1.16623988845153,"Exp",0.890499671476025,0.377777979910604,2.54273910783674,1,-0.725649564116101,0.0917036000963754,-0.1060139131234
"71","CAFI_P079",-0.168290768750472,-0.340173710761393,"Exp",0.710398614323564,-0.826767630359588,-0.245505496683791,1,0.439232648305786,-0.309735962959884,-0.0910046932313746
"72","CAFI_P080",-1.43819072263986,-1.16889563383652,"Exp",1.07060072862848,0.319768701229036,2.54273910783674,1,-0.648879634507369,-0.298728295640038,-0.293818725050796
"73","CAFI_P081",0.316335362062441,-0.310717004786242,"Sec",-0.19010667143873,-0.516247373887669,-0.245505496683791,1,0.0629781170957922,0.356802706192786,-0.381403843920371
"74","CAFI_P082",-1.50549990747499,0.406935406428051,"Exp",1.4308028429334,1.69834214754393,-0.245505496683791,1,-0.692182151416278,-0.341478672097158,-0.0799289037526615
"75","NRI_P001",0.729165029051219,0.535377602283018,"Prm",-0.640359314319877,-0.881364598530475,-0.136575481585022,1,-0.501728192055987,-0.203846307666163,-0.256581297191839
"76","NRI_P002",0.599033938369974,0.502230247277138,"Sec",-0.370207728591188,-0.973496982318847,-0.136575481585022,1,-0.641216008380555,-0.295501043088752,-0.290130395243632
"77","NRI_P003",-1.49203807050797,0.572516608044985,"Sec",1.25070178578094,3.15881104611516,2.54273910783674,1,-0.71803715858416,-0.272345313390397,0.0280973085346851
